,County,Population,PositiveCases
0,Albany ,307426,226
1,Allegany ,47025,7
2,Broome ,194402,38
3,Cattaraugus ,77686,6
4,Cayuga ,77868,3
5,Chautauqua ,129656,6
6,Chemung ,85740,20
7,Chenango ,48348,19
8,Clinton ,80794,21
9,Columbia ,60919,30
10,Cortland ,48123,8
11,Delaware ,45502,16
12,Dutchess ,293894,484
13,Erie ,919866,438
14,Essex ,37751,4
15,Franklin ,50692,9
16,Fulton ,53743,1
17,Genesee ,58112,10
18,Greene ,47617,16
19,Hamilton ,4575,2
20,Herkimer ,62505,12
21,Jefferson ,114448,12
22,Lewis ,26719,2
23,Livingston ,63907,13
24,Madison ,71359,41
25,Monroe ,744248,292
26,Montgomery ,49426,7
27,Nassau ,1356564,8544
28,New York City,8443713,43139
29,Niagara ,211704,42
30,Oneida ,230782,40
31,Onondaga ,464242,194
32,Ontario ,109472,22
33,Orange ,378227,1556
34,Orleans ,41175,6
35,Oswego ,119104,15
36,Otsego ,60244,18
37,Putnam ,99070,186
38,Rensselaer ,159431,41
39,Rockland ,323686,2863
40,Saratoga ,227377,108
41,Schenectady ,154883,85
42,Schoharie ,31364,6
43,Schuyler ,17992,2
44,Seneca ,34612,2
45,St. Lawrence ,109558,30
46,Steuben ,96927,24
47,Suffolk ,1487901,6713
48,Sullivan ,75211,109
49,Tioga ,49045,7
50,Tompkins ,102962,66
51,Ulster ,179303,211
52,Warren ,64480,18
53,Washington ,61828,10
54,Wayne ,90856,19
55,Westchester ,968815,9967
56,Wyoming ,40565,9
57,Yates ,25009,0
